,aac,bwt,fwt,afm,n_tasks,dataset,algo,datetime,dataset_name,agent_name,lr,batch_size,hidden_dim,nepoch,reg_coef,subset_size
57,20.0,-10.610526315789473,0.8210526315789473,13.452631578947367,20,gs_split-cifar100,EWC,2020-11-22-04-41-0,gs_split-cifar100,EWC,0.1,32,100,50,1000.0,
53,20.0,-8.873684210526315,0.8526315789473682,10.715789473684211,20,gs_split-cifar100,EWC,2020-11-22-04-41-0,gs_split-cifar100,EWC,0.01,256,100,50,10.0,
68,20.0,-9.210526315789474,0.9368421052631577,11.452631578947368,20,gs_split-cifar100,EWC,2020-11-22-04-41-0,gs_split-cifar100,EWC,0.1,256,100,50,10.0,
58,20.0,-6.105263157894737,0.8421052631578947,7.48421052631579,20,gs_split-cifar100,EWC,2020-11-22-04-41-0,gs_split-cifar100,EWC,0.1,32,100,50,10000.0,
59,20.0,-15.831578947368422,0.49473684210526325,19.410526315789472,20,gs_split-cifar100,EWC,2020-11-22-04-41-0,gs_split-cifar100,EWC,0.1,32,100,50,10.0,
69,20.0,-3.189473684210526,0.8736842105263157,5.073684210526316,20,gs_split-cifar100,EWC,2020-11-22-04-41-0,gs_split-cifar100,EWC,0.1,256,100,50,100.0,
62,20.0,-12.505263157894737,0.6842105263157893,16.873684210526314,20,gs_split-cifar100,EWC,2020-11-22-04-41-0,gs_split-cifar100,EWC,0.1,64,100,50,10.0,
63,20.0,-8.25263157894737,0.6105263157894736,11.221052631578948,20,gs_split-cifar100,EWC,2020-11-22-04-41-0,gs_split-cifar100,EWC,0.1,64,100,50,100.0,
64,20.0,-3.1473684210526316,0.726315789473684,5.431578947368421,20,gs_split-cifar100,EWC,2020-11-22-04-41-0,gs_split-cifar100,EWC,0.1,64,100,50,1000.0,
51,20.0,-2.9894736842105263,0.6210526315789472,3.6947368421052627,20,gs_split-cifar100,EWC,2020-11-22-04-41-0,gs_split-cifar100,EWC,0.01,256,100,50,1000.0,
66,20.0,-3.1999999999999997,0.8736842105263157,3.7999999999999994,20,gs_split-cifar100,EWC,2020-11-22-04-41-0,gs_split-cifar100,EWC,0.1,64,100,50,10000.0,
52,20.0,-3.0105263157894737,0.5789473684210525,3.6947368421052627,20,gs_split-cifar100,EWC,2020-11-22-04-41-0,gs_split-cifar100,EWC,0.01,256,100,50,100.0,
71,20.0,-3.1052631578947367,0.7894736842105261,4.705263157894737,20,gs_split-cifar100,EWC,2020-11-22-04-41-0,gs_split-cifar100,EWC,0.1,256,100,50,1000.0,
50,20.0,-3.0,0.6210526315789472,3.694736842105264,20,gs_split-cifar100,EWC,2020-11-22-04-41-0,gs_split-cifar100,EWC,0.01,256,100,50,10000.0,
48,20.0,-3.0526315789473686,0.5578947368421051,4.063157894736843,20,gs_split-cifar100,EWC,2020-11-22-04-41-0,gs_split-cifar100,EWC,0.01,64,100,50,10000.0,
17,20.0,0.41052631578947363,-0.21052631578947367,1.4105263157894736,20,gs_split-cifar100,EWC,2020-11-22-04-41-0,gs_split-cifar100,EWC,1e-05,256,100,50,10000.0,
18,20.0,-3.021052631578948,0.7368421052631577,3.5578947368421057,20,gs_split-cifar100,EWC,2020-11-22-04-41-0,gs_split-cifar100,EWC,0.001,32,100,50,1000.0,
20,20.0,-14.526315789473685,0.8947368421052629,16.684210526315788,20,gs_split-cifar100,EWC,2020-11-22-04-41-0,gs_split-cifar100,EWC,0.001,32,100,50,100.0,
23,20.0,-3.021052631578948,0.726315789473684,3.547368421052633,20,gs_split-cifar100,EWC,2020-11-22-04-41-0,gs_split-cifar100,EWC,0.001,32,100,50,10000.0,
27,20.0,-10.705263157894738,0.6842105263157895,12.326315789473686,20,gs_split-cifar100,EWC,2020-11-22-04-41-0,gs_split-cifar100,EWC,0.001,64,100,50,100.0,
28,20.0,-2.8526315789473684,0.6947368421052631,3.3894736842105266,20,gs_split-cifar100,EWC,2020-11-22-04-41-0,gs_split-cifar100,EWC,0.001,64,100,50,1000.0,
29,20.0,-2.8526315789473684,0.6947368421052631,3.357894736842105,20,gs_split-cifar100,EWC,2020-11-22-04-41-0,gs_split-cifar100,EWC,0.001,64,100,50,10000.0,
33,20.0,-2.3157894736842106,0.8210526315789473,3.28421052631579,20,gs_split-cifar100,EWC,2020-11-22-04-41-0,gs_split-cifar100,EWC,0.001,256,100,50,10000.0,
34,20.0,-8.852631578947367,0.7263157894736842,10.789473684210526,20,gs_split-cifar100,EWC,2020-11-22-04-41-0,gs_split-cifar100,EWC,0.001,256,100,50,100.0,
35,20.0,-2.3157894736842106,0.8210526315789473,3.28421052631579,20,gs_split-cifar100,EWC,2020-11-22-04-41-0,gs_split-cifar100,EWC,0.001,256,100,50,1000.0,
38,20.0,-8.284210526315789,0.9684210526315788,11.263157894736844,20,gs_split-cifar100,EWC,2020-11-22-04-41-0,gs_split-cifar100,EWC,0.01,32,100,50,1000.0,
39,20.0,-8.91578947368421,0.6842105263157893,11.336842105263157,20,gs_split-cifar100,EWC,2020-11-22-04-41-0,gs_split-cifar100,EWC,0.01,32,100,50,100.0,
