,aac,bwt,fwt,afm,n_tasks,dataset,algo,datetime,dataset_name,agent_name,lr,batch_size,hiddens,epochs_per_task,gamma,dropout
363,47.264987133318954,-21.746180527936705,0.17447557960949622,21.746180527936705,10,split-cub,stable_sgd,2020-11-22-08-58-1,split-cub,stable_sgd,0.001,10,256,10,1.0,0.1
214,47.2648435080346,-9.94237696260489,0.36956740739433863,10.037181664918126,10,split-cub,stable_sgd,2020-11-22-08-58-1,split-cub,stable_sgd,0.1,64,256,10,0.7000000000000001,0.4
404,47.238190650202895,-17.73145745479671,0.3194778468572611,17.73145745479671,10,split-cub,stable_sgd,2020-11-22-08-58-1,split-cub,stable_sgd,0.01,64,256,10,1.0,0.5
103,47.19715396523411,-19.050647709994912,1.564965605138448,19.050647709994912,10,split-cub,stable_sgd,2020-11-22-08-58-1,split-cub,stable_sgd,0.1,64,256,75,0.6000000000000001,0.0
41,47.1660966182573,-6.569810702038654,1.3060854528733623,6.569810702038654,10,split-cub,stable_sgd,2020-11-22-08-58-1,split-cub,stable_sgd,0.01,10,256,10,0.5,0.2
362,47.12039964540092,-23.529935765679422,1.17944655996366,23.529935765679422,10,split-cub,stable_sgd,2020-11-22-08-58-1,split-cub,stable_sgd,0.001,64,256,75,1.0,0.0
387,47.00653046452594,-19.404107389368566,0.7200649861326959,19.404107389368566,10,split-cub,stable_sgd,2020-11-22-08-58-1,split-cub,stable_sgd,0.01,64,256,10,1.0,0.1
243,46.761586261153234,-23.377194735920497,0.9847195378816258,23.377194735920497,10,split-cub,stable_sgd,2020-11-22-08-58-1,split-cub,stable_sgd,0.01,64,256,75,0.8,0.0
114,46.69542581133372,-7.465645261156784,1.0523062915837238,7.465645261156784,10,split-cub,stable_sgd,2020-11-22-08-58-1,split-cub,stable_sgd,0.01,10,256,10,0.6000000000000001,0.5
20,46.65440769584437,-4.929967547607729,0.92437361471275,4.986850368995671,10,split-cub,stable_sgd,2020-11-22-08-58-1,split-cub,stable_sgd,0.01,10,256,10,0.5,0.30000000000000004
272,46.3800653920761,-12.593779467450638,0.47719968757419845,12.593779467450638,10,split-cub,stable_sgd,2020-11-22-08-58-1,split-cub,stable_sgd,0.1,64,256,10,0.8,0.2
23,46.35150214543172,-8.957818175798987,0.8024580676792179,8.957818175798987,10,split-cub,stable_sgd,2020-11-22-08-58-1,split-cub,stable_sgd,0.01,10,256,10,0.5,0.1
194,46.339729484452796,-14.394119489289539,1.1899612954825676,14.531536057801512,10,split-cub,stable_sgd,2020-11-22-08-58-1,split-cub,stable_sgd,0.1,64,256,10,0.7000000000000001,0.1
255,46.24391731555672,-18.05494841172635,0.48895822066831574,18.05494841172635,10,split-cub,stable_sgd,2020-11-22-08-58-1,split-cub,stable_sgd,0.01,10,256,75,0.8,0.5
